adm4_pcode,adm4_en,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_high,pct_area_landslide_hazard_med,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_count_lt100_sqm,pct_area_builtup,pct_area_tree_cover,pct_area_cropland,rwi_latest,rwi_trend,pop_first,pop_last,pop_cagr,hazard_exposure,pop_projected_2030,projected_growth_pct,risk_score,risk_tier
PH104305055,Macabalan,0.0,0.0,0.0,0.0,0.0,3394.0,0.0083595752548207,57.57006569982151,2824.0,96.16,3.52,0.0,0.6728992446341108,0.12562108435533503,4740.06640625,9172.1337890625,0.03355667887049085,0.0,12758.903666553864,39.10507587414918,0.39111945020147504,Tier 2: Priority Mitigation
PH104305041,Bugo,3.6978,2.2559,1.4071,20.3664,22.9481,9752.0,0.0008638034454368,7.073572098020387,7322.0,14.17,87.16,1.73,0.5038199321064233,0.013942777213807378,18461.373046875,34595.91015625,0.03190101140853474,24.0642,47359.28551989353,36.89272895552867,0.39111934447575825,Tier 2: Priority Mitigation
PH104305063,Puerto,5.0706,0.0,0.0,17.147,14.0208,5621.0,0.0006136730357956,4.277251378290979,4918.0,9.57,89.55,2.99,0.4874228465368905,0.0202474808323011,4603.513671875,8637.5869140625,0.0319654315014406,22.217599999999997,11831.61221203874,36.978213125429505,0.384260820220279,Tier 2: Priority Mitigation
PH104305053,Lapasan,9.5795,5.2692,0.0046,0.0,4.7804,9735.0,0.0044787875765747,35.033219892392715,8188.0,76.72,28.69,0.37,0.7105339866793471,0.10963421661905326,21512.318359375,43861.44140625,0.03626250444679302,9.5795,62629.759114945366,42.79001580194532,0.37630397864621223,Tier 2: Priority Mitigation
PH104305071,Tuburan,6.9629,0.0,0.0,9.65,58.1201,796.0,5.442265033258338e-05,0.2450174761755461,739.0,0.2,100.07,0.12,0.3115492059306705,0.03489533357389868,972.4296875,1719.1561279296875,0.0288992615595427,16.6129,2285.829719379497,32.96231111552574,0.3728888335252195,Tier 2: Priority Mitigation
PH104305002,Baikingon,31.7435,19.8141,17.8855,0.0251,17.7107,1414.0,0.0002527736443754,1.3998438674647526,1244.0,1.35,102.41,2.55,0.5551241037175934,0.042431469893200346,1947.274658203125,3406.060546875,0.028350722648618376,31.7686,4504.690314196216,32.255144974718355,0.3637738928202465,Tier 2: Priority Mitigation
PH104305060,Pagatpat,14.4609,6.7088,5.3583,1.7568,31.2637,5861.0,0.0006934903151152,4.338586543746024,5011.0,7.09,100.82,0.81,0.5802038134517713,0.043011956061252965,1803.242919921875,3531.348876953125,0.03417567747232875,16.2177,4941.784699002362,39.94042704911591,0.3543682981812235,Tier 2: Priority Mitigation
PH104305056,Macasandig,36.4262,35.2687,19.3254,0.1045,20.7695,9340.0,0.0014987676392304,12.00849960049494,7022.0,25.35,70.69,1.47,0.675437660256165,0.07813468798263878,12501.9365234375,21087.67578125,0.026484914662711523,36.5307,27387.62854208634,29.875045624695673,0.3533101949074543,Tier 2: Priority Mitigation
PH104305058,Nazareth,28.2536,24.0206,14.8833,0.0,0.0513,2174.0,0.0031069447990689,35.5306677109125,1279.0,76.59,25.34,0.38,0.7433689295874277,0.14936035148426086,3562.707275390625,6301.1630859375,0.0289209948524789,28.2536,8379.94194382979,32.99039922536786,0.3507472517313567,Tier 2: Priority Mitigation
PH104305048,F. S. Catanico,3.7762,0.1908,0.1089,22.5413,51.2038,995.0,6.249293547848375e-05,0.2648760878292269,936.0,0.3,103.32,0.08,0.508872640045089,0.02969528741684274,1322.28369140625,2293.169921875,0.027911156579171648,26.3175,3019.8963303934147,31.69090966988657,0.34677220210611376,Tier 2: Priority Mitigation
PH104305057,Mambuaya,14.553,0.0,0.0,4.6289,37.5281,3153.0,0.0004600319760527,2.251656380417705,2876.0,3.2,100.3,2.98,0.3892299080459123,0.06969006601951638,1762.365234375,2954.829833984375,0.026175940144543608,19.1819,3826.050997423895,29.48464759017073,0.34239492951268913,Tier 2: Priority Mitigation
PH104305023,Barangay 28 (Pob.),10.4696,0.4107,0.0,0.0,0.0,228.0,0.0029529134829609,53.205695768173264,134.0,100.0,3.1,0.0,0.7245533642684043,0.15706768930364623,467.477294921875,940.784423828125,0.03558673727274808,10.4696,1334.6116648755037,41.86158178989243,0.3420755647945989,Tier 2: Priority Mitigation
PH104305033,Barangay 6 (Pob.),57.3605,56.0391,40.0253,0.0,0.0,53.0,0.0013951987963515,29.364891482385275,28.0,53.97,18.16,0.45,0.7486327160088186,0.1787247686236223,44.783477783203125,64.653076171875,0.018529398429020905,57.3605,77.6828018970751,20.15329586261545,0.3419993696599309,Tier 2: Priority Mitigation
PH104305076,Barangay 25 (Pob.),17.7824,16.5623,0.0,0.0,0.0,398.0,0.0028892775392972,67.07155798121221,243.0,100.0,7.53,0.0,0.7251773238247131,0.14383032677326513,2061.24658203125,3893.03955078125,0.03230479202829861,17.7824,5350.1782264716585,37.429331417863246,0.3402932449148858,Tier 2: Priority Mitigation
PH104305069,Tagpangi,3.4485,0.0,0.0,0.9143,67.1108,781.0,7.783912655979427e-05,0.370926239639205,728.0,0.35,100.01,0.0,0.3735853674615379,0.06381636366419252,374.336181640625,710.95556640625,0.03259265767328601,4.3628,979.7895096166174,37.813044290415164,0.3387895494747847,Tier 2: Priority Mitigation
PH104305038,Bayanga,6.7408,0.0,0.0,2.5579,58.2212,2043.0,8.089201941552138e-05,0.41320631999712,1872.0,0.46,99.95,0.16,0.3931263030614427,0.05005589083486528,2437.18310546875,4467.73828125,0.03076574707893176,9.2987,6049.054634831136,35.39411339776846,0.3365176066380074,Tier 2: Priority Mitigation
PH104305064,Puntod,17.8321,15.45,6.7859,0.0,0.0,4400.0,0.0031307737494675,33.3931955048445,3580.0,88.2,9.06,0.4,0.6965807140209409,0.1230530727733834,16424.7421875,29558.9140625,0.029815669462544436,17.8321,39653.67398036053,34.15132198874409,0.32954160702497187,Tier 1: Monitor
